.2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-03 10:54:11,606 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table RENEW3 created successfully with 60900 records.
2021-05-03 10:54:11,606 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 10:54:11,606 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 10:54:11,606 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Renew4 table
2021-05-03 10:54:12,015 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table RENEW4 created successfully with 60900 records.
2021-05-03 10:54:12,016 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 10:54:13,019 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 60900 records read from table:Renew4.
2021-05-03 10:54:13,156 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Renew6 created successfully with 60900 records
2021-05-03 10:54:14,872 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 60900 records read from table:Renew6.
2021-05-03 10:54:15,174 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table HHLD1 created successfully with 32661 records and 31 columns.
2021-05-03 10:54:17,498 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 379635 records read from table:driver202012.
2021-05-03 10:54:17,499 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVER202012 created successfully with 379635 records and 43 columns.
2021-05-03 10:54:32,611 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 379635 records read from table:driver.
2021-05-03 10:54:32,914 - GW_IPM_RENRATIO REGIONAL AUTO INFO - driver created successfully with 379635 records
2021-05-03 10:54:37,084 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 319883 records read from table:drivergenii202012.
2021-05-03 10:54:37,084 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVERGENII202012 created successfully with 319883 records and 72 columns.
2021-05-03 10:54:46,706 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 379635 records read from table:driver.
2021-05-03 10:54:59,298 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 319883 records read from table:drivergenii.
2021-05-03 10:55:03,588 - GW_IPM_RENRATIO REGIONAL AUTO INFO - driver created successfully with 654718 records
2021-05-03 10:55:06,893 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 654718 records read from table:driver.
2021-05-03 10:55:07,104 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVER created successfully with 210529 records and 9 columns.
2021-05-03 10:55:12,724 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 58808 records read from table:inforce202012.
2021-05-03 10:55:12,766 - GW_IPM_RENRATIO REGIONAL AUTO INFO - termincep created successfully with 58808 records
2021-05-03 10:56:04,575 - GW_IPM_RENRATIO REGIONAL AUTO INFO - termincep created successfully with 389035 records
